RollNo,Aggregate,Backlogs,10th_agg,12th_agg,Workshops,Languages,Target
1001038,77.9,1,85.2,85.4,0,1,Placed
1001039,69.3,0,74.5,76.8,1,1,Placed
1001040,69.4,0,72.3,67.0,0,2,Placed
1001041,55.9,1,66.5,63.6,0,1,Not Placed
1001042,60.3,0,64.4,61.5,0,4,Not Placed
1001043,66.5,0,73.1,76.3,0,1,Placed
1001044,85.7,0,87.8,87.2,0,1,Placed
1001045,73.5,0,75.5,82.5,0,1,Placed
1001046,68.1,0,74.4,73.3,0,1,Not Placed
1001047,68.2,0,81.4,68.7,3,1,Placed
1001048,68.6,0,80.4,69.2,1,1,Placed
1001049,68.0,0,78.0,79.6,0,1,Not Placed
1001050,78.5,1,92.6,88.5,0,1,Placed
1001051,86.2,0,96.4,84.3,3,2,Placed
1001052,56.8,0,73.7,68.1,0,1,Not Placed
1001053,77.9,1,79.8,90.0,1,2,Placed
1001054,79.1,0,98.0,70.6,0,1,Placed
1001055,76.1,0,82.2,85.1,1,3,Placed
1001056,78.0,0,86.1,85.9,1,2,Placed
1001057,77.5,0,82.1,86.6,1,1,Placed
1001058,65.7,0,71.2,72.1,0,1,Placed
1001059,45.0,0,50.0,50.0,3,2,Not Placed
1001060,58.8,0,66.7,62.4,0,3,Not Placed
1001061,55.2,0,62.6,65.7,2,2,Not Placed
1001062,89.0,0,95.3,93.9,0,2,Placed
1001063,80.5,0,87.8,78.9,5,2,Placed
1001064,71.6,0,77.0,77.4,0,1,Placed
1001065,85.9,0,92.4,92.1,0,1,Placed
1001066,68.3,0,84.0,68.9,0,1,Placed
1001067,75.2,0,74.0,86.9,0,1,Placed
1001068,78.3,1,72.9,87.8,0,1,Not Placed
1001069,77.1,0,81.0,83.0,1,1,Not Placed
1001070,83.0,0,94.5,81.9,2,4,Placed
1001071,98.0,0,98.0,98.0,0,1,Placed
1001072,72.7,0,72.6,79.6,0,1,Placed
1001073,71.5,1,81.4,83.8,2,1,Not Placed
1001074,62.1,1,66.4,65.1,0,5,Not Placed
1001075,62.9,1,72.8,61.3,0,3,Not Placed
1001076,68.2,1,68.2,67.7,0,1,Not Placed
1001077,93.6,0,98.0,93.9,1,3,Placed
1001078,79.9,1,93.3,82.2,4,1,Placed
1001079,93.8,0,98.0,98.0,4,3,Placed
1001080,67.1,0,67.2,68.5,0,1,Not Placed
1001081,60.9,0,70.1,62.6,1,4,Placed
1001082,73.7,0,81.3,83.4,0,1,Placed
1001083,81.3,1,87.7,87.7,0,4,Placed
1001084,57.0,0,66.1,53.2,0,5,Not Placed
1001085,63.7,0,70.5,71.0,0,2,Not Placed
1001086,58.6,0,72.4,69.5,0,1,Not Placed
1001087,70.2,0,76.2,75.4,0,2,Placed
1001088,80.8,1,90.0,92.9,1,1,Placed
1001089,75.4,0,88.7,80.0,1,2,Placed
1001090,59.2,0,75.5,61.7,0,1,Not Placed
1001091,86.4,1,89.1,98.0,0,2,Placed
1001092,88.9,0,98.0,97.9,0,1,Placed
1001093,76.0,0,75.4,79.0,0,1,Placed
1001094,79.9,1,85.8,80.1,0,1,Placed
1001095,78.2,0,84.9,85.0,0,1,Placed
1001096,73.0,0,89.0,82.1,2,1,Placed
1001097,69.7,0,88.3,76.1,0,2,Not Placed
1001098,70.0,0,72.1,69.5,1,3,Placed
1001099,81.9,0,95.9,86.9,0,2,Placed
1001100,66.9,0,78.5,66.4,0,1,Placed
1001101,80.2,0,87.2,92.2,1,2,Placed
1001102,52.3,0,57.6,50.0,0,1,Not Placed
1001103,92.1,1,98.0,90.6,0,2,Placed
1001104,92.3,1,88.7,87.5,0,1,Placed
1001105,54.2,0,57.9,62.0,0,2,Not Placed
1001106,71.9,1,74.3,76.0,0,2,Not Placed
1001107,66.8,1,76.7,65.9,0,2,Not Placed
1001108,71.0,1,78.4,85.4,0,1,Not Placed
1001109,61.8,0,70.2,69.2,0,2,Not Placed
1001110,65.8,1,78.6,71.0,2,1,Placed
1001111,51.3,0,56.2,60.8,1,1,Not Placed
1001112,73.1,0,87.1,78.0,0,2,Placed
1001113,84.4,0,94.4,92.7,0,1,Placed
1001114,62.0,0,67.2,65.5,0,5,Not Placed
1001115,52.5,1,61.4,53.4,1,1,Not Placed
1001116,72.3,0,76.9,71.1,0,1,Not Placed
1001117,77.4,0,81.8,76.8,0,1,Placed
1001118,75.3,0,93.5,82.4,2,1,Placed
1001119,66.4,1,70.1,67.0,1,1,Not Placed
1001120,80.8,0,85.2,91.1,1,1,Placed
1001121,56.6,0,65.9,58.4,3,1,Not Placed
1001122,66.0,0,82.6,71.2,0,1,Not Placed
1001123,58.4,0,67.7,63.4,1,3,Not Placed
1001124,69.0,0,75.4,71.9,1,2,Not Placed
1001125,83.6,0,82.4,93.1,0,5,Placed
1001126,84.1,0,85.5,81.8,0,1,Placed
1001127,64.0,0,85.3,69.5,3,1,Not Placed
1001128,66.8,0,77.8,72.8,0,1,Not Placed
1001129,78.4,0,81.1,83.2,0,1,Placed
1001130,73.3,0,93.2,79.9,0,2,Placed
1001131,84.0,0,85.4,95.6,3,1,Placed
1001132,58.5,1,59.0,56.5,0,1,Not Placed
1001133,97.1,0,98.0,98.0,0,1,Placed
1001134,68.6,1,76.6,77.6,0,4,Not Placed
1001135,50.7,0,62.2,59.6,1,2,Not Placed
1001136,82.4,0,98.0,91.8,3,1,Placed
1001137,80.8,0,95.2,86.1,0,2,Placed
1001138,73.3,0,79.1,79.8,1,1,Placed
1001139,58.5,0,59.7,60.8,0,2,Not Placed
1001140,63.6,0,72.8,60.8,0,1,Not Placed
1001141,60.8,0,72.6,63.7,2,4,Not Placed
1001142,52.4,0,63.2,57.5,0,1,Not Placed
1001143,70.9,0,84.1,77.5,0,1,Placed
1001144,72.4,0,79.1,85.0,1,1,Placed
1001145,79.2,0,85.2,83.1,0,1,Placed
1001146,82.5,0,97.2,91.2,1,1,Placed
1001147,87.1,0,97.8,91.3,2,2,Placed
1001148,64.8,0,67.3,70.5,0,5,Placed
1001149,49.4,0,57.6,58.7,1,1,Not Placed
1001150,56.6,0,59.5,75.2,0,1,Not Placed
1001151,71.2,1,78.1,75.6,0,3,Placed
1001152,56.9,0,69.3,52.2,1,1,Not Placed
1001153,70.2,1,84.8,70.5,0,3,Not Placed
1001154,65.2,0,74.8,66.0,0,1,Not Placed
1001155,80.2,0,85.9,85.0,0,2,Not Placed
1001156,88.0,0,96.4,92.7,1,4,Placed
1001157,69.8,1,74.5,71.7,3,3,Not Placed
1001158,45.0,0,55.0,50.0,0,3,Not Placed
1001159,72.1,0,68.6,78.6,2,2,Placed
1001160,61.5,0,72.8,56.3,2,1,Placed
1001161,67.6,0,69.7,82.6,0,1,Not Placed
1001162,85.0,0,93.2,96.0,2,1,Placed
1001163,49.3,1,53.5,52.1,2,1,Not Placed
1001164,72.5,0,84.0,67.6,0,2,Not Placed
1001165,66.7,0,85.1,69.5,3,1,Not Placed
1001166,93.3,0,93.9,98.0,0,2,Placed
1001167,92.1,0,98.0,87.0,1,1,Placed
1001168,72.2,0,83.0,68.3,0,1,Placed
1001169,59.0,0,61.4,63.9,1,1,Not Placed
1001170,73.9,0,85.2,83.0,1,2,Placed
1001171,69.7,0,79.3,76.1,0,1,Placed
1001172,80.3,1,86.0,84.3,0,1,Placed
1001173,67.8,0,75.7,72.4,0,1,Not Placed
1001174,84.7,0,97.5,91.9,0,2,Not Placed
1001175,76.8,0,88.0,82.3,0,2,Placed
1001176,95.8,0,98.0,98.0,4,1,Placed
1001177,74.0,1,84.2,69.0,3,3,Placed
1001178,74.2,0,78.0,81.6,3,1,Not Placed
1001179,68.6,0,75.8,82.2,0,4,Placed
1001180,62.7,1,77.5,67.7,1,1,Not Placed
1001181,60.6,0,68.3,75.1,3,1,Not Placed
1001182,64.5,1,67.6,62.9,0,2,Not Placed
1001183,80.4,1,90.9,82.5,0,1,Placed
1001184,84.3,0,98.0,89.1,0,1,Placed
1001185,70.9,0,89.3,77.3,0,2,Placed
1001186,76.3,1,75.2,80.5,4,2,Placed
1001187,62.7,0,74.2,75.1,2,1,Not Placed
1001188,98.0,0,98.0,98.0,3,3,Placed
1001189,73.1,0,79.7,75.8,1,3,Placed
1001190,64.8,0,74.9,66.1,0,1,Not Placed
1001191,78.2,0,90.5,72.9,0,2,Placed
1001192,87.7,1,98.0,94.1,0,1,Placed
1001193,82.7,0,87.7,82.2,2,2,Placed
1001194,92.7,0,98.0,98.0,5,1,Placed
1001195,57.3,0,71.3,63.0,2,1,Not Placed
1001196,78.9,0,88.9,88.1,0,1,Placed
1001197,67.9,0,77.0,71.9,1,1,Not Placed
1001198,56.3,0,62.6,77.7,2,2,Not Placed
1001199,78.5,0,90.6,78.2,0,3,Placed
